file,week,trend
Rossmann_DE_SN,2012-12-02 - 2012-12-08,96
Rossmann_DE_SN,2012-12-09 - 2012-12-15,95
Rossmann_DE_SN,2012-12-16 - 2012-12-22,91
Rossmann_DE_SN,2012-12-23 - 2012-12-29,48
Rossmann_DE_SN,2012-12-30 - 2013-01-05,67
Rossmann_DE_SN,2013-01-06 - 2013-01-12,71
Rossmann_DE_SN,2013-01-13 - 2013-01-19,53
Rossmann_DE_SN,2013-01-20 - 2013-01-26,58
Rossmann_DE_SN,2013-01-27 - 2013-02-02,55
Rossmann_DE_SN,2013-02-03 - 2013-02-09,55
Rossmann_DE_SN,2013-02-10 - 2013-02-16,58
Rossmann_DE_SN,2013-02-17 - 2013-02-23,65
Rossmann_DE_SN,2013-02-24 - 2013-03-02,48
Rossmann_DE_SN,2013-03-03 - 2013-03-09,51
Rossmann_DE_SN,2013-03-10 - 2013-03-16,50
Rossmann_DE_SN,2013-03-17 - 2013-03-23,58
Rossmann_DE_SN,2013-03-24 - 2013-03-30,54
Rossmann_DE_SN,2013-03-31 - 2013-04-06,55
Rossmann_DE_SN,2013-04-07 - 2013-04-13,64
Rossmann_DE_SN,2013-04-14 - 2013-04-20,47
Rossmann_DE_SN,2013-04-21 - 2013-04-27,51
Rossmann_DE_SN,2013-04-28 - 2013-05-04,47
Rossmann_DE_SN,2013-05-05 - 2013-05-11,57
Rossmann_DE_SN,2013-05-12 - 2013-05-18,64
Rossmann_DE_SN,2013-05-19 - 2013-05-25,54
Rossmann_DE_SN,2013-05-26 - 2013-06-01,67
Rossmann_DE_SN,2013-06-02 - 2013-06-08,45
Rossmann_DE_SN,2013-06-09 - 2013-06-15,55
Rossmann_DE_SN,2013-06-16 - 2013-06-22,67
Rossmann_DE_SN,2013-06-23 - 2013-06-29,56
Rossmann_DE_SN,2013-06-30 - 2013-07-06,68
Rossmann_DE_SN,2013-07-07 - 2013-07-13,61
Rossmann_DE_SN,2013-07-14 - 2013-07-20,74
Rossmann_DE_SN,2013-07-21 - 2013-07-27,67
Rossmann_DE_SN,2013-07-28 - 2013-08-03,78
Rossmann_DE_SN,2013-08-04 - 2013-08-10,62
Rossmann_DE_SN,2013-08-11 - 2013-08-17,74
Rossmann_DE_SN,2013-08-18 - 2013-08-24,65
Rossmann_DE_SN,2013-08-25 - 2013-08-31,68
Rossmann_DE_SN,2013-09-01 - 2013-09-07,61
Rossmann_DE_SN,2013-09-08 - 2013-09-14,65
Rossmann_DE_SN,2013-09-15 - 2013-09-21,50
Rossmann_DE_SN,2013-09-22 - 2013-09-28,67
Rossmann_DE_SN,2013-09-29 - 2013-10-05,52
Rossmann_DE_SN,2013-10-06 - 2013-10-12,64
Rossmann_DE_SN,2013-10-13 - 2013-10-19,50
Rossmann_DE_SN,2013-10-20 - 2013-10-26,63
Rossmann_DE_SN,2013-10-27 - 2013-11-02,55
Rossmann_DE_SN,2013-11-03 - 2013-11-09,68
Rossmann_DE_SN,2013-11-10 - 2013-11-16,61
Rossmann_DE_SN,2013-11-17 - 2013-11-23,82
Rossmann_DE_SN,2013-11-24 - 2013-11-30,64
Rossmann_DE_SN,2013-12-01 - 2013-12-07,69
Rossmann_DE_SN,2013-12-08 - 2013-12-14,85
Rossmann_DE_SN,2013-12-15 - 2013-12-21,100
Rossmann_DE_SN,2013-12-22 - 2013-12-28,61
Rossmann_DE_SN,2013-12-29 - 2014-01-04,62
Rossmann_DE_SN,2014-01-05 - 2014-01-11,72
Rossmann_DE_SN,2014-01-12 - 2014-01-18,47
Rossmann_DE_SN,2014-01-19 - 2014-01-25,63
Rossmann_DE_SN,2014-01-26 - 2014-02-01,60
Rossmann_DE_SN,2014-02-02 - 2014-02-08,69
Rossmann_DE_SN,2014-02-09 - 2014-02-15,56
Rossmann_DE_SN,2014-02-16 - 2014-02-22,71
Rossmann_DE_SN,2014-02-23 - 2014-03-01,49
Rossmann_DE_SN,2014-03-02 - 2014-03-08,60
Rossmann_DE_SN,2014-03-09 - 2014-03-15,57
Rossmann_DE_SN,2014-03-16 - 2014-03-22,64
Rossmann_DE_SN,2014-03-23 - 2014-03-29,57
Rossmann_DE_SN,2014-03-30 - 2014-04-05,66
Rossmann_DE_SN,2014-04-06 - 2014-04-12,60
Rossmann_DE_SN,2014-04-13 - 2014-04-19,66
Rossmann_DE_SN,2014-04-20 - 2014-04-26,49
Rossmann_DE_SN,2014-04-27 - 2014-05-03,74
Rossmann_DE_SN,2014-05-04 - 2014-05-10,66
Rossmann_DE_SN,2014-05-11 - 2014-05-17,61
Rossmann_DE_SN,2014-05-18 - 2014-05-24,68
Rossmann_DE_SN,2014-05-25 - 2014-05-31,55
Rossmann_DE_SN,2014-06-01 - 2014-06-07,63
Rossmann_DE_SN,2014-06-08 - 2014-06-14,56
Rossmann_DE_SN,2014-06-15 - 2014-06-21,79
Rossmann_DE_SN,2014-06-22 - 2014-06-28,62
Rossmann_DE_SN,2014-06-29 - 2014-07-05,70
Rossmann_DE_SN,2014-07-06 - 2014-07-12,62
Rossmann_DE_SN,2014-07-13 - 2014-07-19,74
Rossmann_DE_SN,2014-07-20 - 2014-07-26,56
Rossmann_DE_SN,2014-07-27 - 2014-08-02,74
Rossmann_DE_SN,2014-08-03 - 2014-08-09,84
Rossmann_DE_SN,2014-08-10 - 2014-08-16,83
Rossmann_DE_SN,2014-08-17 - 2014-08-23,80
Rossmann_DE_SN,2014-08-24 - 2014-08-30,63
Rossmann_DE_SN,2014-08-31 - 2014-09-06,73
